"id";"tweet";"date";"username"
"1131601133791789061";"one of my work mates who is a remainer thinks it s hilarious leavers are having milkshakes thrown at themhe di ";2019-05-23 16:41:49;"CJMBNottz"
"1131601124753063936";"voted today for party_uk everyone i have spoken with today has confirmed their intention to vote for democra ";2019-05-23 16:41:46;"donpearson60"
"1131601107715854336";"uk election for european mps 23may2019 proud of pat my supercool landlady a stickler for remain ready for a s ";2019-05-23 16:41:42;"MarioTorre0"
"1131601090510807041";"oh this is awfulgovernment incompetence or a deliberate act you decide  ";2019-05-23 16:41:38;"TeresaBenison"
"1131601089504129024";" an admin error led to several thousand brits in berlin being deleted prematurely from the electora ";2019-05-23 16:41:38;"Berlin_Brit"
"1131601088359141381";"can t i m off to vote  whatafuckingjoke";2019-05-23 16:41:38;"MichaelDNetto1"
"1131601086291353600";"managed to convince 3 work colleagues to go and vote today all for usually non voters none would ";2019-05-23 16:41:37;"marri1"
"1131601080813408258";"i ll agree to being uk prime minister but not if i have to live in 10 downing that place seems to have bad mojo ";2019-05-23 16:41:36;"DannySkarka"
"1131601077135187969";"done my bit have you euelections2019  ";2019-05-23 16:41:35;"JustChrisKelly"
"1131601074786361345";"on the day of the europeanelections a nice reflection by director of research and policy ";2019-05-23 16:41:35;"nearneighbours"
"1131601057690341377";"relax  will consume more that may ";2019-05-23 16:41:30;"CallyKayode"
"1131601031987646464";" _liz if that s labour s view on post  indy then i can t agree with it anybody has a r ";2019-05-23 16:41:24;"paul_trembath"
"1131601021313146884";"first time ever in my life i ve not voted labour in any election their stance on  caused this nothing else ";2019-05-23 16:41:22;"Yousaf_S_1987"
"1131600963586936834";" i m anti racist and today i voted for the party  theparty";2019-05-23 16:41:08;"FreemocracyU"
"1131600960021815298";"  i m working with a us editorial team gt gt it s tricky sticky business eddy milkshake ";2019-05-23 16:41:07;"Tanzeel_Akhtar"
"1131600952862138368";"just happily put in my vote for _uk the mp s are going to get a massive wakeup call sunday night monda ";2019-05-23 16:41:05;"Takehikomits"
"1131600927180247041";"scumbag pussies this old guy is a friken hero party  ";2019-05-23 16:40:59;"jrcrowd"
"1131600920645644289";"my dad was 19 at end of wwii he volunteered to fight fascism but wasn t allowed because he was in a reserved pro ";2019-05-23 16:40:58;"martinmorrey"
"1131600849078312961";"_james28 _uk _farage well done danny  party ";2019-05-23 16:40:41;"Ash_Hirani"
"1131600839934664704";"i got off my ars and voted did you if not what are you waiting for get out and vote for one of the pro eu pa ";2019-05-23 16:40:39;"St0pBrexitParty"
"1131600818954735620";" macron wants uk to leave by october to stop  polluting eu ";2019-05-23 16:40:34;"pr0udwhite"
"1131600795667976193";" macron names  negotiator barnier as great choice for next eu chief ";2019-05-23 16:40:28;"pr0udwhite"
"1131600782829281280";"theresa may has pleased no one with her fudged  compromises at this late hour she might yet please more t ";2019-05-23 16:40:25;"nickhopkinsonEU"
"1131600771064242176";"  is a con for fuck sake ers wake the fuck up stop remain peoplevote  endgame th ";2019-05-23 16:40:22;"gibbo99"
"1131600724897554432";"stirling traders weren t big fans of boris johnson in the wake of the 2016  referendum and they re largely ";2019-05-23 16:40:11;"dzuidijk"
"1131600718597693441";" the  debate has shown that this is exactly who we are the mask is off the british electorate ";2019-05-23 16:40:10;"chrisbunnett"
"1131600678173007872";"good lord ms more y than though has taken complete leave of her senses demanding be tried ";2019-05-23 16:40:00;"christiaanhtznr"
"1131600675870257152";"  i voted first thing anyone just now who supports the _uk i think the perfect thing to do is ge ";2019-05-23 16:39:59;"Hunter95296488"
"1131600646061346816";" europeanelections  i was turned away at the polling station today i did not receive the polling card yet ";2019-05-23 16:39:52;"maggieantonina"
"1131600573692825607";" since mrs may is such a masochist can i suggest her buying one of these instead of obliterating h ";2019-05-23 16:39:35;"ElliotTheUnread"
"1131600526171357185";"  use the time wisely ";2019-05-23 16:39:24;"HughSykes"
"1131600515584942086";"message from a failed state  euelections2019 ep2019 ";2019-05-23 16:39:21;"trouwschmidt"
"1131600458919874560";" _woodcraft sorry you re saying stop yet you ";2019-05-23 16:39:08;"hanabanana10"
"1131600413122269184";" doesn t deserve my vote euelections2019  shambles labourmeansleave";2019-05-23 16:38:57;"dazthebeard"
